Airline,Date_of_Journey,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price
Jet Airways,09/06/2019,Kolkata,Banglore,,20h 15m,1 stop,In-flight meal not included,8586
Jet Airways,,Delhi,Cochin,DEL → NAG → BOM → COK,21h 40m,2 stops,In-flight meal not included,
GoAir,09/06/2019,Kolkata,Banglore,CCU → AMD → BLR,7h 35m,1 stop,No info,9495
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,6h 35m,1 stop,No info,14714
Air India,24/06/2019,Delhi,Cochin,DEL → COK,3h,non-stop,No info,5201
Air India,27/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,23h 40m,2 stops,No info,7090
IndiGo,15/05/2019,Mumbai,Hyderabad,BOM → HYD,1h 30m,non-stop,No info,4575
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → HYD → COK,9h 5m,1 stop,No info,9646
IndiGo,12/06/2019,Delhi,Cochin,DEL → MAA → COK,5h 25m,1 stop,No info,5636
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → HYD → COK,9h 5m,1 stop,No info,
Jet Airways,09/03/2019,Mumbai,Hyderabad,BOM → HYD,1h 30m,non-stop,In-flight meal not included,4050
Jet Airways,09/06/2019,Delhi,Cochin,DEL → BOM → COK,21h 10m,1 stop,No info,14714
IndiGo,18/06/2019,Kolkata,Banglore,CCU → BLR,2h 30m,non-stop,No info,4804
Jet Airways,09/06/2019,Delhi,Cochin,DEL → BOM → COK,24h 45m,1 stop,,10577
GoAir,15/06/2019,Banglore,Delhi,BLR → DEL,2h 45m,non-stop,No info,3898
Jet Airways,06/06/2019,Kolkata,Banglore,CCU → BOM → BLR,16h,1 stop,No info,14571
Jet Airways,15/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,21h 40m,2 stops,In-flight meal not included,10919
Jet Airways,18/06/2019,Banglore,Delhi,BLR → DEL,2h 45m,non-stop,No info,8016
IndiGo,21/03/2019,Delhi,Cochin,DEL → HYD → COK,7h 5m,1 stop,No info,6287
Air India,06/06/2019,Kolkata,Banglore,CCU → BOM → BLR,15h 5m,1 stop,No info,8366
Jet Airways,06/03/2019,Delhi,Cochin,DEL → BOM → COK,7h 20m,1 stop,In-flight meal not included,15400
Vistara,03/03/2019,Banglore,New Delhi,BLR → DEL,2h 40m,non-stop,No info,8553
SpiceJet,09/04/2019,Kolkata,Banglore,CCU → BLR,2h 35m,non-stop,No check-in baggage included,3841
Air India,09/04/2019,Delhi,Cochin,DEL → BHO → BOM → COK,25h 45m,2 stops,No info,10021
SpiceJet,24/06/2019,Chennai,Kolkata,MAA → CCU,2h 20m,non-stop,No info,3597
IndiGo,24/05/2019,Chennai,Kolkata,MAA → CCU,2h 25m,non-stop,No info,4332
,21/06/2019,Banglore,Delhi,BLR → DEL,2h 45m,non-stop,No info,3898
Jet Airways,06/03/2019,Mumbai,Hyderabad,BOM → BDQ → DEL → HYD,27h 45m,2 stops,No info,21375
Vistara,06/06/2019,Kolkata,Banglore,CCU → DEL → BLR,16h 15m,,No info,
IndiGo,15/06/2019,,Banglore,CCU → BLR,2h 35m,non-stop,No info,4804
Air India,01/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,28h 50m,2 stops,No info,13591
Jet Airways,06/05/2019,Kolkata,Banglore,CCU → BOM → BLR,9h 50m,1 stop,No info,14781
Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,5h 15m,1 stop,,9134
Air India,09/06/2019,Delhi,,DEL → NAG → BOM → COK,25h 45m,2 stops,,10493
,24/03/2019,Banglore,,BLR → BOM → DEL,21h 20m,1 stop,In-flight meal not included,
SpiceJet,21/06/2019,Kolkata,Banglore,CCU → BLR,2h 20m,non-stop,No info,3873
Jet Airways,09/06/2019,Kolkata,Banglore,CCU → BOM → BLR,17h 5m,1 stop,No info,14571
Air India,03/03/2019,Banglore,New Delhi,BLR → VGA → HYD → DEL,10h 55m,2 stops,No info,11003
Jet Airways,03/06/2019,Delhi,Cochin,DEL → BOM → COK,9h 10m,1 stop,In-flight meal not included,10262
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,,1 stop,No info,12719
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,,1 stop,In-flight meal not included,10262
Air India,21/06/2019,Banglore,Delhi,BLR → DEL,2h 45m,non-stop,No info,7171
SpiceJet,27/04/2019,Banglore,Delhi,BLR → DEL,2h 40m,non-stop,No info,4423
Multiple carriers,09/03/2019,Delhi,Cochin,DEL → BOM → COK,8h 10m,1 stop,In-flight meal not included,12616
Air India,,Delhi,Cochin,DEL → HYD → BOM → COK,26h,2 stops,No info,12970
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,12h 55m,,No info,14914
Jet Airways,06/05/2019,Mumbai,Hyderabad,BOM → HYD,1h 25m,non-stop,In-flight meal not included,3210
GoAir,21/04/2019,Banglore,Delhi,BLR → DEL,2h 55m,non-stop,No info,4632
Jet Airways,09/05/2019,Delhi,Cochin,DEL → BOM → COK,10h 55m,1 stop,In-flight meal not included,12373
IndiGo,15/06/2019,Kolkata,Banglore,CCU → BLR,2h 30m,non-stop,No info,4804
Multiple carriers,03/03/2019,Delhi,Cochin,DEL → GWL → IDR → BOM → COK,9h 25m,3 stops,No info,21829
Multiple carriers,01/06/2019,Delhi,Cochin,DEL → BOM → COK,13h,1 stop,No info,13587
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,29h 20m,2 stops,No info,12819
Air Asia,27/03/2019,Delhi,Cochin,DEL → BLR → COK,11h,1 stop,,6151
Jet Airways,01/06/2019,Banglore,Delhi,BLR → DEL,2h 55m,non-stop,No info,8016
Multiple carriers,06/03/2019,Delhi,Cochin,DEL → BOM → COK,11h 20m,1 stop,No info,15135
IndiGo,21/05/2019,Delhi,Cochin,DEL → BOM → COK,8h 20m,1 stop,No info,6794
Vistara,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,27h 20m,1 stop,No info,8610
Air India,18/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,30h 40m,2 stops,No info,12723
Air India,06/06/2019,Kolkata,Banglore,CCU → BBI → BLR,25h 15m,1 stop,No info,7662
Multiple carriers,09/03/2019,Delhi,Cochin,DEL → BOM → COK,8h 35m,1 stop,No info,14343
Multiple carriers,01/06/2019,Delhi,Cochin,DEL → BOM → COK,15h 10m,1 stop,No info,6795
SpiceJet,09/05/2019,Kolkata,Banglore,CCU → BLR,2h 20m,non-stop,No info,3873
,12/06/2019,Mumbai,Hyderabad,BOM → HYD,1h 30m,non-stop,No info,2754
Air India,06/03/2019,Mumbai,Hyderabad,BOM → CCU → HYD,15h 5m,1 stop,No info,
Multiple carriers,01/06/2019,Delhi,Cochin,DEL → BOM → COK,7h 40m,1 stop,No info,11098
Jet Airways,09/06/2019,Kolkata,Banglore,CCU → DEL → BLR,29h 5m,1 stop,In-flight meal not included,10539
Air India,27/05/2019,Delhi,Cochin,DEL → BOM → COK,12h 15m,1 stop,No info,9929
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,23h 50m,1 stop,In-flight meal not included,10844
Jet Airways,06/06/2019,Kolkata,Banglore,CCU → DEL → BLR,28h 50m,1 stop,No info,12692
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,7h 35m,1 stop,In-flight meal not included,9212
Multiple carriers,15/05/2019,Delhi,Cochin,,10h 30m,1 stop,No info,13727
Air Asia,15/06/2019,Banglore,Delhi,BLR → DEL,2h 50m,non-stop,No info,4282
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21h 25m,1 stop,,10844
Air India,27/06/2019,Delhi,Cochin,DEL → MAA → COK,16h 5m,1 stop,No info,7480
IndiGo,01/05/2019,Banglore,Delhi,BLR → DEL,3h,non-stop,No info,4823
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,13h 45m,1 stop,In-flight meal not included,12373
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,9h 20m,1 stop,No info,7215
Air India,09/05/2019,Delhi,,DEL → MAA → COK,27h 20m,1 stop,No info,7480
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,12h,1 stop,No info,8143
IndiGo,03/05/2019,Banglore,Delhi,BLR → DEL,2h 55m,non-stop,No info,4823
Jet Airways,06/06/2019,Kolkata,Banglore,CCU → BOM → BLR,12h 15m,1 stop,In-flight meal not included,10844
SpiceJet,12/04/2019,Banglore,Delhi,BLR → DEL,2h 55m,non-stop,No info,5621
Vistara,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,24h,1 stop,No info,9555
IndiGo,21/03/2019,Banglore,New Delhi,BLR → DEL,2h 45m,non-stop,No info,4777
SpiceJet,03/03/2019,Banglore,New Delhi,BLR → DEL,2h 55m,non-stop,No info,7648
IndiGo,01/04/2019,Kolkata,Banglore,CCU → PAT → BLR,4h 55m,1 stop,No info,10308
Jet Airways,,Delhi,Cochin,DEL → JDH → BOM → COK,7h 20m,2 stops,No info,
IndiGo,06/05/2019,Kolkata,Banglore,CCU → PAT → BLR,4h 55m,1 stop,No info,11319
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,23h 35m,1 stop,In-flight meal not included,
Multiple carriers,09/05/2019,Delhi,Cochin,DEL → BOM → COK,7h 15m,1 stop,No info,15078
SpiceJet,01/05/2019,Mumbai,Hyderabad,BOM → HYD,1h 30m,non-stop,No info,2017
Air Asia,01/06/2019,Kolkata,Banglore,CCU → BLR,2h 30m,non-stop,No info,4409
IndiGo,09/06/2019,Delhi,Cochin,DEL → HYD → COK,4h 35m,1 stop,,5054
Air India,15/03/2019,Banglore,New Delhi,BLR → CCU → GAU → DEL,16h 20m,2 stops,No info,10111
SpiceJet,18/03/2019,Banglore,New Delhi,BLR → DEL,2h 50m,non-stop,No check-in baggage included,4273
Jet Airways,21/03/2019,Delhi,Cochin,DEL → MAA → BOM → COK,28h 55m,2 stops,In-flight meal not included,8728
Air India,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,15h 5m,1 stop,No info,8576
Jet Airways,03/06/2019,Banglore,Delhi,BLR → DEL,3h,non-stop,No info,8016
Jet Airways,09/06/2019,Banglore,Delhi,,2h 55m,non-stop,No info,8016
,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,27h 10m,1 stop,No info,
IndiGo,15/04/2019,Banglore,Delhi,BLR → DEL,2h 45m,non-stop,No info,4423
Jet Airways,15/06/2019,Mumbai,Hyderabad,BOM → HYD,1h 25m,non-stop,In-flight meal not included,4050
Jet Airways,06/05/2019,Kolkata,Banglore,CCU → BOM → BLR,5h 45m,1 stop,No info,14781
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,12h 15m,1 stop,In-flight meal not included,8586
Air Asia,21/05/2019,Kolkata,Banglore,CCU → BBI → BLR,3h 35m,1 stop,No info,5162
Jet Airways,09/06/2019,Kolkata,Banglore,CCU → BOM → BLR,7h 30m,1 stop,No info,13731
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,15h 25m,1 stop,In-flight meal not included,7438
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,25h 20m,1 stop,No info,14151
,12/04/2019,,Delhi,BLR → DEL,2h 50m,non-stop,No info,5613
IndiGo,15/05/2019,Kolkata,Banglore,CCU → HYD → BLR,4h 50m,1 stop,No info,5380
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,16h 55m,1 stop,In-flight meal not included,7438
Multiple carriers,01/06/2019,Delhi,Cochin,DEL → HYD → COK,15h 25m,1 stop,No info,9646
Air Asia,15/05/2019,Delhi,Cochin,DEL → BLR → COK,10h 25m,1 stop,,6853
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,6h 15m,,No info,13555
IndiGo,15/06/2019,Delhi,Cochin,DEL → BOM → COK,8h,1 stop,No info,5883
IndiGo,09/03/2019,Delhi,Cochin,DEL → HYD → COK,7h 5m,1 stop,No info,6171
IndiGo,21/05/2019,Mumbai,Hyderabad,BOM → HYD,1h 30m,non-stop,No info,3175
IndiGo,27/03/2019,Delhi,Cochin,DEL → AMD → COK,5h 55m,1 stop,No info,4832
Multiple carriers,01/06/2019,Delhi,Cochin,DEL → BOM → COK,9h 30m,1 stop,No info,13377
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,8h 40m,1 stop,In-flight meal not included,10262
Jet Airways,01/06/2019,Delhi,Cochin,DEL → BOM → COK,18h 20m,1 stop,In-flight meal not included,10262
Air India,18/05/2019,Delhi,,DEL → JAI → BOM → COK,19h 40m,2 stops,No info,8603
Jet Airways,06/06/2019,Kolkata,Banglore,CCU → BOM → BLR,22h 10m,1 stop,In-flight meal not included,8586
Vistara,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,12h 45m,1 stop,No info,8452
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,23h 15m,1 stop,No info,14231
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,11h,1 stop,No info,16289
SpiceJet,03/03/2019,Banglore,New Delhi,BLR → DEL,,non-stop,No info,6860
IndiGo,09/05/2019,Mumbai,Hyderabad,BOM → HYD,1h 30m,non-stop,No info,2754
Multiple carriers,09/06/2019,Delhi,Cochin,DEL → HYD → COK,15h 25m,1 stop,No info,9646
Air India,,Chennai,Kolkata,MAA → CCU,2h 15m,non-stop,No info,4667
IndiGo,21/04/2019,Kolkata,Banglore,CCU → BLR,2h 35m,non-stop,No info,4804
IndiGo,09/03/2019,,New Delhi,BLR → DEL,2h 45m,non-stop,No info,4545
Jet Airways,01/03/2019,Banglore,,BLR → BOM → DEL,21h 30m,1 stop,,25735
Jet Airways,,Delhi,Cochin,DEL → JAI → BOM → COK,22h 55m,2 stops,No info,
Jet Airways,01/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18h 10m,1 stop,In-flight meal not included,8586
IndiGo,09/06/2019,Chennai,Kolkata,MAA → CCU,2h 20m,non-stop,No info,5277
,27/03/2019,Delhi,Cochin,DEL → BOM → COK,14h 5m,1 stop,No info,6206
Air Asia,12/04/2019,Banglore,Delhi,BLR → DEL,2h 45m,non-stop,No info,4483
Vistara,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,25h 50m,1 stop,No info,9870
SpiceJet,27/06/2019,Kolkata,Banglore,CCU → BLR,2h 30m,non-stop,No check-in baggage included,3841
SpiceJet,27/03/2019,Kolkata,Banglore,CCU → BLR,2h 30m,non-stop,No check-in baggage included,3815
IndiGo,24/03/2019,Banglore,New Delhi,,2h 50m,non-stop,No info,6860
Jet Airways,01/05/2019,Kolkata,Banglore,CCU → DEL → BLR,14h 30m,1 stop,No info,12121
Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,8h 55m,1 stop,In-flight meal not included,5963
SpiceJet,06/06/2019,Banglore,Delhi,BLR → DEL,2h 40m,non-stop,No info,3625
SpiceJet,15/06/2019,Kolkata,Banglore,CCU → BLR,2h 25m,non-stop,No check-in baggage included,3841
IndiGo,12/06/2019,Banglore,Delhi,BLR → DEL,2h 50m,non-stop,No info,4823
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → HYD → COK,6h 25m,1 stop,No info,9646
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,10h 20m,1 stop,In-flight meal not included,10152
IndiGo,03/06/2019,Delhi,Cochin,DEL → HYD → COK,15h 40m,1 stop,No info,
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11h 25m,1 stop,No info,16736
Jet Airways,06/05/2019,Kolkata,Banglore,CCU → BOM → BLR,15h 10m,1 stop,No info,13584
Air India,21/05/2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,,2 stops,,11222
IndiGo,01/05/2019,Chennai,Kolkata,MAA → CCU,2h 20m,non-stop,No info,
Vistara,24/03/2019,Banglore,New Delhi,BLR → DEL,2h 40m,non-stop,No info,7608
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20h 20m,1 stop,In-flight meal not included,10844
Multiple carriers,09/06/2019,Delhi,Cochin,DEL → BOM → COK,8h 30m,1 stop,No info,7408
Vistara,18/05/2019,Chennai,Kolkata,MAA → CCU,2h 15m,non-stop,No info,3687
SpiceJet,03/03/2019,Delhi,Cochin,DEL → BLR → COK,6h 15m,1 stop,No info,11726
Jet Airways,06/05/2019,Kolkata,Banglore,CCU → BOM → BLR,26h 50m,1 stop,In-flight meal not included,9663
Air India,24/03/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,30h 45m,2 stops,No info,12829
IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,5h,1 stop,No info,6069
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,27h 20m,1 stop,In-flight meal not included,8529
Vistara,09/05/2019,Kolkata,Banglore,CCU → DEL → BLR,6h 25m,1 stop,No info,8085
Vistara,15/05/2019,Banglore,Delhi,BLR → DEL,2h 45m,non-stop,No info,
IndiGo,03/04/2019,Banglore,,BLR → DEL,2h 50m,non-stop,No info,4077
IndiGo,09/05/2019,Kolkata,Banglore,CCU → PNQ → BLR,5h 15m,1 stop,No info,7605
Jet Airways,15/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,22h 55m,2 stops,No info,13014
IndiGo,03/03/2019,Delhi,Cochin,DEL → HYD → COK,14h 45m,1 stop,No info,11600
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,16h 45m,1 stop,No info,14151
Air India,24/06/2019,Delhi,Cochin,DEL → HYD → BOM → COK,18h 25m,2 stops,No info,12497
Jet Airways,06/03/2019,Delhi,Cochin,DEL → BOM → COK,16h 35m,1 stop,No info,17024
SpiceJet,,Chennai,Kolkata,MAA → CCU,2h 35m,non-stop,,6300
,06/03/2019,Delhi,Cochin,DEL → BOM → COK,7h 50m,1 stop,No info,15147
Multiple carriers,01/06/2019,Delhi,Cochin,DEL → BOM → COK,12h 40m,1 stop,No info,6795
IndiGo,03/03/2019,Mumbai,Hyderabad,BOM → HYD,1h 25m,non-stop,No info,5755
Air India,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,19h 45m,1 stop,No info,10203
Jet Airways,06/06/2019,Delhi,Cochin,DEL → BOM → COK,16h 55m,1 stop,No info,14714
IndiGo,18/03/2019,Banglore,New Delhi,BLR → DEL,2h 50m,non-stop,No info,4545
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14h 15m,1 stop,No info,14781
Air India,12/03/2019,Banglore,New Delhi,BLR → TRV → COK → DEL,27h 35m,2 stops,No info,11602
IndiGo,06/05/2019,Mumbai,Hyderabad,BOM → HYD,1h 30m,non-stop,No info,4049
Jet Airways,09/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,22h 55m,,In-flight meal not included,13029
,09/06/2019,Kolkata,Banglore,CCU → BOM → BLR,12h 20m,1 stop,No info,14571
Air India,09/06/2019,Banglore,Delhi,BLR → DEL,2h 45m,non-stop,No info,6961
SpiceJet,15/05/2019,Kolkata,Banglore,CCU → PNQ → BLR,8h 40m,1 stop,No info,6381
SpiceJet,01/04/2019,Kolkata,Banglore,CCU → BLR,2h 35m,non-stop,No check-in baggage included,3841
Jet Airways,21/03/2019,Delhi,Cochin,DEL → IXC → BOM → COK,22h 5m,2 stops,No info,11538
Vistara,06/05/2019,Kolkata,Banglore,CCU → DEL → BLR,24h,1 stop,No info,8610
Air India,06/03/2019,Delhi,Cochin,DEL → HYD → BOM → COK,36h 10m,2 stops,No info,11552
Multiple carriers,01/06/2019,Delhi,Cochin,DEL → BOM → COK,14h,1 stop,No info,7408
Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,16h 50m,1 stop,In-flight meal not included,10262
Air India,06/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,27h 5m,2 stops,,10991
Multiple carriers,09/06/2019,Delhi,Cochin,DEL → BOM → COK,7h 15m,1 stop,No info,13587
Air India,15/05/2019,Delhi,Cochin,DEL → MAA → COK,20h 55m,1 stop,No info,7480
IndiGo,09/03/2019,Banglore,New Delhi,BLR → IDR → DEL,5h,1 stop,No info,6351
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,7h,1 stop,In-flight meal not included,7153
Air Asia,06/05/2019,Kolkata,Banglore,,2h 30m,non-stop,No info,4409
IndiGo,15/05/2019,Kolkata,Banglore,CCU → PNQ → BLR,5h 15m,1 stop,No info,
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,10h 50m,1 stop,No info,11667
SpiceJet,12/06/2019,Kolkata,Banglore,CCU → MAA → BLR,5h 15m,1 stop,No info,4649
Air India,09/05/2019,Kolkata,Banglore,CCU → BOM → COK → BLR,20h 55m,2 stops,No info,12592
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,8h 40m,1 stop,No info,11789
Air India,01/06/2019,Chennai,Kolkata,MAA → CCU,2h 15m,non-stop,No info,4667
Air Asia,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,12h,1 stop,No info,9719
Air India,27/03/2019,Delhi,Cochin,DEL → BOM → COK,6h 15m,1 stop,No info,6902
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,8h 40m,1 stop,No info,14781
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14h 10m,1 stop,In-flight meal not included,10844
Air India,24/03/2019,Kolkata,Banglore,CCU → IXZ → MAA → BLR,32h 55m,2 stops,No info,11522
Air India,21/04/2019,Banglore,,BLR → DEL,2h 50m,non-stop,No info,6121
,06/06/2019,Kolkata,Banglore,CCU → DEL → BLR,6h 25m,,No info,
Air Asia,24/03/2019,Kolkata,Banglore,CCU → BLR,2h 30m,non-stop,No info,5620
IndiGo,27/05/2019,Kolkata,Banglore,,2h 30m,non-stop,,4804
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,,1 stop,No info,7005
Jet Airways,01/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19h 55m,2 stops,No info,15129
Jet Airways,,Kolkata,Banglore,CCU → BOM → BLR,8h 40m,1 stop,In-flight meal not included,8586
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,11h,1 stop,No info,10197
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,10h 5m,1 stop,No info,10667
IndiGo,12/06/2019,Kolkata,Banglore,CCU → PAT → BLR,4h 55m,1 stop,No info,11160
Air India,27/05/2019,Delhi,Cochin,DEL → LKO → BOM → COK,30h 55m,2 stops,No info,12488
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,11h 25m,1 stop,In-flight meal not included,10844
Air India,03/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,26h 35m,2 stops,No info,9968
Jet Airways,18/05/2019,Banglore,Delhi,BLR → DEL,3h 5m,non-stop,In-flight meal not included,5198
Jet Airways,01/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14h 35m,1 stop,In-flight meal not included,8586
IndiGo,18/05/2019,Chennai,Kolkata,MAA → CCU,2h 25m,non-stop,No info,4332
IndiGo,06/05/2019,Kolkata,Banglore,CCU → MAA → BLR,4h 50m,1 stop,,5069
Jet Airways,06/05/2019,Banglore,Delhi,BLR → DEL,3h,non-stop,In-flight meal not included,4544
Multiple carriers,03/03/2019,Delhi,Cochin,DEL → BOM → COK,11h 30m,1 stop,No info,14973
Air India,12/03/2019,Banglore,New Delhi,BLR → BOM → IDR → GWL → DEL,35h 20m,3 stops,No info,13387
SpiceJet,09/06/2019,Banglore,Delhi,BLR → DEL,2h 40m,non-stop,No info,3625
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,28h 50m,1 stop,In-flight meal not included,10703
IndiGo,24/03/2019,Kolkata,Banglore,CCU → BLR,2h 35m,non-stop,No info,7615
IndiGo,27/05/2019,Banglore,,BLR → DEL,2h 55m,non-stop,,4823
Jet Airways,06/03/2019,,New Delhi,BLR → BOM → DEL,17h 25m,1 stop,No info,
Jet Airways,09/05/2019,,Banglore,CCU → BOM → BLR,14h 50m,1 stop,In-flight meal not included,9663
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,10h 30m,1 stop,No info,9205
Jet Airways,09/05/2019,Delhi,Cochin,DEL → BOM → COK,5h 35m,1 stop,No info,15554
SpiceJet,15/05/2019,Mumbai,Hyderabad,BOM → HYD,1h 30m,non-stop,No check-in baggage included,1965
Air India,15/06/2019,Kolkata,Banglore,CCU → BLR,2h 30m,non-stop,No info,5510
Multiple carriers,09/05/2019,Delhi,Cochin,DEL → BOM → COK,8h 55m,1 stop,No info,8266
IndiGo,27/05/2019,Mumbai,Hyderabad,BOM → HYD,1h 30m,non-stop,No info,3175
SpiceJet,09/05/2019,Delhi,Cochin,DEL → PNQ → COK,4h 30m,1 stop,No check-in baggage included,4760
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,12h 15m,1 stop,No info,
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,9h 30m,1 stop,No info,
Air Asia,06/06/2019,Delhi,Cochin,DEL → BLR → COK,14h 25m,1 stop,No info,11410
Jet Airways,01/04/2019,Kolkata,Banglore,CCU → BOM → BLR,27h 20m,1 stop,No info,12681
Jet Airways,06/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,26h 55m,2 stops,No info,15129
,12/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,13h 30m,2 stops,In-flight meal not included,10368
Air India,21/05/2019,Kolkata,Banglore,CCU → JAI → DEL → BLR,12h 5m,2 stops,No info,12324
SpiceJet,15/04/2019,Kolkata,Banglore,CCU → BLR,2h 30m,non-stop,No check-in baggage included,3841
Jet Airways,24/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,22h 55m,2 stops,No info,13014
IndiGo,27/06/2019,Delhi,Cochin,DEL → HYD → COK,15h 40m,,No info,6442
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,5h,1 stop,,12373
Jet Airways,12/03/2019,Banglore,,BLR → BOM → DEL,14h 5m,1 stop,No info,13817
IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,2h 55m,non-stop,No info,4823
Jet Airways,27/03/2019,Delhi,Cochin,DEL → MAA → BOM → COK,23h 15m,2 stops,In-flight meal not included,9412
Air India,27/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,21h 15m,2 stops,No info,10231
Jet Airways,09/04/2019,Banglore,Delhi,BLR → DEL,2h 55m,non-stop,No info,7229
,,Banglore,New Delhi,BLR → DEL,2h 55m,non-stop,No check-in baggage included,4273
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,25h 50m,1 stop,In-flight meal not included,10844
IndiGo,27/05/2019,Delhi,Cochin,DEL → MAA → COK,5h 25m,1 stop,No info,7164
Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,3h,non-stop,In-flight meal not included,6478
Jet Airways,12/05/2019,Banglore,Delhi,BLR → DEL,3h,non-stop,In-flight meal not included,5198
SpiceJet,27/04/2019,Banglore,Delhi,BLR → DEL,2h 40m,non-stop,No check-in baggage included,4319
Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,17h 20m,1 stop,In-flight meal not included,10262
Vistara,18/05/2019,Delhi,Cochin,DEL → COK,3h 10m,non-stop,No info,6741
Jet Airways,06/06/2019,Kolkata,Banglore,CCU → BOM → BLR,,1 stop,No info,14571
Air India,01/03/2019,Banglore,New Delhi,BLR → MAA → DEL,12h 5m,1 stop,Change airports,26092
